un_loc_code,country,continent,year,stock,iso3
108,Burundi,Africa,1990,342568,BDI
108,Burundi,Africa,1995,549487,BDI
108,Burundi,Africa,2000,802113,BDI
108,Burundi,Africa,2005,651030,BDI
108,Burundi,Africa,2010,290788,BDI
108,Burundi,Africa,2015,444013,BDI
108,Burundi,Africa,2020,552134,BDI
108,Burundi,Africa,2024,576530,BDI
174,Comoros,Africa,1990,32522,COM
174,Comoros,Africa,1995,48072,COM
174,Comoros,Africa,2000,73404,COM
174,Comoros,Africa,2005,97008,COM
174,Comoros,Africa,2010,111510,COM
174,Comoros,Africa,2015,188715,COM
174,Comoros,Africa,2020,260848,COM
174,Comoros,Africa,2024,367574,COM
262,Djibouti,Africa,1990,1963,DJI
262,Djibouti,Africa,1995,20005,DJI
262,Djibouti,Africa,2000,3751,DJI
262,Djibouti,Africa,2005,2421,DJI
262,Djibouti,Africa,2010,2577,DJI
262,Djibouti,Africa,2015,2537,DJI
262,Djibouti,Africa,2020,2866,DJI
262,Djibouti,Africa,2024,3576,DJI
232,Eritrea,Africa,1990,156294,ERI
232,Eritrea,Africa,1995,370422,ERI
232,Eritrea,Africa,2000,505394,ERI
232,Eritrea,Africa,2005,267114,ERI
232,Eritrea,Africa,2010,283312,ERI
232,Eritrea,Africa,2015,478597,ERI
232,Eritrea,Africa,2020,663275,ERI
232,Eritrea,Africa,2024,912792,ERI
231,Ethiopia,Africa,1990,1630810,ETH
231,Ethiopia,Africa,1995,727374,ETH
231,Ethiopia,Africa,2000,418923,ETH
231,Ethiopia,Africa,2005,493987,ETH
231,Ethiopia,Africa,2010,666181,ETH
231,Ethiopia,Africa,2015,896584,ETH
231,Ethiopia,Africa,2020,1075343,ETH
231,Ethiopia,Africa,2024,1240645,ETH
404,Kenya,Africa,1990,238008,KEN
404,Kenya,Africa,1995,249228,KEN
404,Kenya,Africa,2000,296430,KEN
404,Kenya,Africa,2005,346666,KEN
404,Kenya,Africa,2010,390142,KEN
404,Kenya,Africa,2015,452369,KEN
404,Kenya,Africa,2020,483045,KEN
404,Kenya,Africa,2024,540466,KEN
450,Madagascar,Africa,1990,82170,MDG
450,Madagascar,Africa,1995,98560,MDG
450,Madagascar,Africa,2000,119159,MDG
450,Madagascar,Africa,2005,143188,MDG
450,Madagascar,Africa,2010,156279,MDG
450,Madagascar,Africa,2015,175803,MDG
450,Madagascar,Africa,2020,196997,MDG
450,Madagascar,Africa,2024,212455,MDG
454,Malawi,Africa,1990,138206,MWI
454,Malawi,Africa,1995,134253,MWI
454,Malawi,Africa,2000,167695,MWI
454,Malawi,Africa,2005,216125,MWI
454,Malawi,Africa,2010,259343,MWI
454,Malawi,Africa,2015,307175,MWI
454,Malawi,Africa,2020,372914,MWI
454,Malawi,Africa,2024,427573,MWI
480,Mauritius,Africa,1990,64202,MUS
480,Mauritius,Africa,1995,72122,MUS
480,Mauritius,Africa,2000,77904,MUS
480,Mauritius,Africa,2005,88522,MUS
480,Mauritius,Africa,2010,102296,MUS
480,Mauritius,Africa,2015,109779,MUS
480,Mauritius,Africa,2020,112089,MUS
480,Mauritius,Africa,2024,114314,MUS
175,Mayotte,Africa,1990,1835,
175,Mayotte,Africa,1995,3937,
175,Mayotte,Africa,2000,6214,
175,Mayotte,Africa,2005,6468,
175,Mayotte,Africa,2010,6336,
175,Mayotte,Africa,2015,6545,
175,Mayotte,Africa,2020,6767,
175,Mayotte,Africa,2024,6960,
508,Mozambique,Africa,1990,1989048,MOZ
508,Mozambique,Africa,1995,761443,MOZ
508,Mozambique,Africa,2000,650229,MOZ
508,Mozambique,Africa,2005,641039,MOZ
508,Mozambique,Africa,2010,655516,MOZ
508,Mozambique,Africa,2015,671672,MOZ
508,Mozambique,Africa,2020,689058,MOZ
508,Mozambique,Africa,2024,702796,MOZ
638,Réunion,Africa,1990,3903,
638,Réunion,Africa,1995,3639,
638,Réunion,Africa,2000,3078,
638,Réunion,Africa,2005,2624,
638,Réunion,Africa,2010,2425,
638,Réunion,Africa,2015,2364,
638,Réunion,Africa,2020,2336,
638,Réunion,Africa,2024,2357,
646,Rwanda,Africa,1990,584280,RWA
646,Rwanda,Africa,1995,2109879,RWA
646,Rwanda,Africa,2000,346850,RWA
646,Rwanda,Africa,2005,293186,RWA
646,Rwanda,Africa,2010,334656,RWA
646,Rwanda,Africa,2015,496392,RWA
646,Rwanda,Africa,2020,486754,RWA
646,Rwanda,Africa,2024,539046,RWA
690,Seychelles,Africa,1990,10497,SYC
690,Seychelles,Africa,1995,13042,SYC
690,Seychelles,Africa,2000,14346,SYC
690,Seychelles,Africa,2005,18364,SYC
690,Seychelles,Africa,2010,20399,SYC
690,Seychelles,Africa,2015,21141,SYC
690,Seychelles,Africa,2020,21722,SYC
690,Seychelles,Africa,2024,22191,SYC
706,Somalia,Africa,1990,599233,SOM
706,Somalia,Africa,1995,791721,SOM
706,Somalia,Africa,2000,758781,SOM
706,Somalia,Africa,2005,756046,SOM
706,Somalia,Africa,2010,1237640,SOM
706,Somalia,Africa,2015,1719780,SOM
706,Somalia,Africa,2020,1701493,SOM
706,Somalia,Africa,2024,1935594,SOM
728,South Sudan,Africa,1990,479199,SSD
728,South Sudan,Africa,1995,266027,SSD
728,South Sudan,Africa,2000,283331,SSD
728,South Sudan,Africa,2005,211198,SSD
728,South Sudan,Africa,2010,321713,SSD
728,South Sudan,Africa,2015,853845,SSD
728,South Sudan,Africa,2020,2374400,SSD
728,South Sudan,Africa,2024,3168836,SSD
800,Uganda,Africa,1990,247275,UGA
800,Uganda,Africa,1995,294857,UGA
800,Uganda,Africa,2000,446491,UGA
800,Uganda,Africa,2005,477529,UGA
800,Uganda,Africa,2010,582479,UGA
800,Uganda,Africa,2015,619064,UGA
800,Uganda,Africa,2020,586241,UGA
800,Uganda,Africa,2024,578034,UGA
834,United Republic of Tanzania,Africa,1990,194717,
834,United Republic of Tanzania,Africa,1995,210718,
834,United Republic of Tanzania,Africa,2000,192774,
834,United Republic of Tanzania,Africa,2005,202455,
834,United Republic of Tanzania,Africa,2010,208185,
834,United Republic of Tanzania,Africa,2015,221603,
834,United Republic of Tanzania,Africa,2020,219530,
834,United Republic of Tanzania,Africa,2024,225017,
894,Zambia,Africa,1990,73861,ZMB
894,Zambia,Africa,1995,116003,ZMB
